Textos_espanol,sdg
"Por ejemplo, a lo largo de los años, tanto la Relatora Especial de las Naciones Unidas sobre la violencia contra la mujer como la Relatora Especial de las Naciones Unidas sobre el derecho a una vivienda adecuada han abordado específicamente las experiencias de violencia de las mujeres en el contexto de los desalojos forzosos. Este marco genérico es igualmente aplicable a las mujeres. El Comité señala específicamente que las estrategias nacionales para implementar el derecho a la alimentación “deben prestar particular atención a la necesidad de prevenir la discriminación en el acceso a los alimentos o a los recursos para la alimentación. Por lo tanto, los Estados partes deben adoptar de inmediato las medidas necesarias para prevenir, disminuir y eliminar las condiciones y actitudes que causan o perpetúan la discriminación sustantiva o de facto.",5
"La falta de pruebas sólidas de la medición de la seguridad de los pacientes en los entornos de atención primaria y ambulatoria puede explicarse en parte por la naturaleza fragmentada de este entorno descrita en la introducción. De hecho, las respuestas a la encuesta sugieren que el carÃ¡cter fragmentado de los ""sistemas"" de atenciÃ³n primaria y ambulatoria y la falta de gobernanza general del sistema son el principal obstÃ¡culo para la aplicaciÃ³n de medidas e intervenciones de seguridad (vÃ©ase el capÃtulo 4). Esto significa que la informaciÃ³n rara vez puede vincularse. Estos obstÃ¡culos tÃ©cnicos pueden impedir captar con precisiÃ³n la imagen completa de la frecuencia y magnitud de los daÃ±os sufridos por los pacientes a lo largo de su recorrido.",3
"El Ministerio de Economía y Finanzas realizó un estudio de factibilidad en 2002, que se aplicó a los presupuestos de 1997/98 e identificó elementos clave para introducir la dimensión de género en la elaboración de presupuestos. Ejemplos de la inclusión de cuestiones de género en los procedimientos presupuestarios (cont.) El gobierno introdujo gradualmente una dimensión de género en los presupuestos de los departamentos ministeriales, comenzando con cinco departamentos piloto en 2005 (finanzas, educación, salud, agricultura y planificación), que se amplió a 21 departamentos en 2009). Desde 2005, el Ministerio de Hacienda publica anualmente un Informe sobre el Presupuesto de Género como parte del informe que acompaña a la ley de finanzas.",5
"La mayoría de los inmigrantes que viven y trabajan legalmente en Chipre tienen un seguro privado. El paquete de prestaciones es completo; los únicos servicios explícitamente excluidos son algunos odontológicos, como la ortodoncia para los mayores de 18 años y las prótesis fijas. Cuando los servicios no estÃ¡n disponibles en el sector pÃºblico o hay largas listas de espera, el Ministerio de Sanidad subvenciona la atenciÃ³n prestada a los beneficiarios en el sector privado o en el extranjero en raras circunstancias; la elegibilidad para estas subvenciones se basa en las necesidades econÃ³micas y mÃ©dicas del individuo. Las propuestas sobre la inclusiÃ³n de un servicio en el paquete de prestaciones las realiza el departamento pertinente del Ministerio de Sanidad y la decisiÃ³n final la toma el Ministro de Sanidad, en algunos casos se requiere la aprobaciÃ³n del Ministro de Finanzas o incluso la aprobaciÃ³n del Consejo de Ministros.",3
"El progreso en los frentes más destacados ha llevado a que otros temas previamente pasados ​​por alto pasen a primer plano. Por ejemplo, la reducción de las muertes en niños menores de cinco años pero mayores de un mes, ha sacado a la luz el tema de la mortalidad neonatal, que se pasó por alto a principios de la década de 2000. Este progreso se ha reflejado en el progreso que los países han realizado hacia el logro de los Objetivos de Desarrollo del Milenio (ODM) relacionados con la salud desde el año 2000.",3
"A pesar de mucha retórica política sobre la importancia de alentar a las mujeres a participar en actividades generadoras de ingresos, la mayoría de los esfuerzos han sido liderados por el sector no gubernamental y, en particular, por las asociaciones de mujeres empresarias. Los donantes a menudo financian estos proyectos de apoyo empresarial y ofrecen herramientas que se pueden utilizar para capacitar a las mujeres en habilidades empresariales, como el programa de la Corporación Financiera Internacional (CFI), “Las mujeres obtienen la ventaja empresarial”, en Yemen y el programa de la OIT. Materiales de capacitación ""Inicie su propio negocio"" (SYOB), ""Expanda su negocio"" (IYB) y ""Conozca los negocios"" (KAB) en varias economías de MENA. Sin embargo, los servicios de desarrollo empresarial no están sistemáticamente disponibles en la región MENA, especialmente en las áreas rurales.",5
"Para ser válidos, los instrumentos no deben estar correlacionados con el término de error de la ecuación explicativa y no deben tener ningún efecto directo sobre la migración femenina (masculina). Para ser relevante, el instrumento debe estar correlacionado con las variables endógenas independientes, es decir, el SIGI. Los estudios anteriores sobre la desigualdad de género rara vez arrojan luz sobre la posibilidad de problemas de endogeneidad y la validez de los instrumentos para resolverlos. Una excepción destacada la representan Dollar y Gatti (1999), que instrumentan la desigualdad de género en una ecuación de crecimiento mediante la afiliación religiosa y las libertades civiles.",5
"Para garantizar que el aumento de los recursos no se desperdicie sino que se traduzca en mejores resultados de salud, al mismo tiempo se debe priorizar una mayor eficiencia del sistema de salud. Sin eliminar este tope, o realizar una revisión del gasto y la eficiencia del sector de la salud, será difícil aumentar sustancialmente los recursos del sistema de salud en un corto período de tiempo. Muchos otros países de la OCDE, como Francia o el Reino Unido, realizan revisiones periódicas del gasto que permiten un enfoque más receptivo al desarrollo de los servicios públicos, al mismo tiempo que controlan el gasto.",3
"En Atyrau, por ejemplo, el tamaño medio de las clases de las escuelas de clase pequeña y de las demás escuelas es aproximadamente el mismo, y el tamaño medio de las escuelas de clase pequeña (134 alumnos) casi duplica la media nacional. En Kyzylorda, en cambio, las escuelas de clases reducidas sólo tienen una media de 34 alumnos, más de la mitad que la media nacional, y las clases son, de media, cuatro veces más pequeñas que en las demás escuelas. Esto sugiere que Kyzylorda aplica criterios más estrictos para clasificar una escuela como de clase pequeña.",4
"Los hallazgos de este estudio destacan las oportunidades de asociación para ayudar al éxito de la implementación. Estos centros, que reúnen a los proveedores de servicios en un solo lugar, tienen el potencial de abordar algunos de los desafíos que enfrenta el sistema educativo en términos de tratamiento de la salud mental. En primer lugar, a pesar de una mayor inversión en apoyo a la salud mental en las escuelas, los servicios disponibles a menudo carecen de la capacidad para brindar respuestas integrales y efectivas a los problemas de salud mental de los estudiantes (consulte la Sección 3.5).",3
"Los líderes del centro se definieron como las personas con mayor responsabilidad en el liderazgo administrativo, de gestión y pedagógico en su centro de EAPI. En los centros más pequeños, los líderes del centro también podrían haber pasado parte de su tiempo trabajando con niños. Estos informes ofrecen una perspectiva internacional de los sistemas de EAPI, analizan diferentes enfoques de políticas y brindan orientaciones de políticas que pueden ayudar a promover un acceso equitativo y asequible a una educación y cuidado de la primera infancia de alta calidad.",4
"La iniciativa ""Agenda 21 local"" preveía que la sostenibilidad se construyera de abajo hacia arriba a través de iniciativas de gobiernos locales, grupos comunitarios y mujeres y hombres. Estimuló una plétora de proyectos y programas de desarrollo sostenible comunitarios y conjuntos estatales-locales en todo el mundo, en torno a la agricultura sostenible y el uso de la tierra, el agua, la pesca, los bosques, la vida silvestre, los entornos urbanos y otros temas. Estas iniciativas encarnaron un reconocimiento importante de los derechos sobre los recursos locales y la acción colectiva. Sin embargo, muchos padecían una visión demasiado homogénea de ""la comunidad"" que no tenía en cuenta las perspectivas y prioridades diferenciadas socialmente y por género (Dressier y otros, 2010, Leach, Mearns y Scoones, 1999), o involucraba a las mujeres solo de manera simbólica. manera en los comités de gestión de proyectos.",5
"Entonces llegó una oportunidad de oro que me brindó un trampolín para unirme a la política: eso fue en 1998/99, cuando el parlamento de Tanzania aprobó una ley que requería una participación del 30 por ciento de mujeres en las legislaturas. Está registrado que antes de unirme al parlamento, fui la fundadora de la Federación de Mujeres Abogadas (FIDA) y fui una jugadora clave en la lucha por los derechos de las mujeres en Uganda. Nosotros, como parlamentarios, también nos hemos beneficiado enormemente de la asociación y la capacitación de las OSC en áreas de presupuestos sensibles al género y derechos humanos, entre otros.",5
"En caso contrario, deberá justificarse sobre la base de criterios objetivos, razonables y proporcionados (ver apartado 3). La falta de igualdad en el disfrute de los derechos relacionados con la familia significa que algunos miembros no disfrutan por igual de la riqueza económica, las ganancias y los beneficios sociales de su familia. El impacto negativo sobre las mujeres está bien establecido.",5
"Disponibilidad de los resultados de las evaluaciones nacionales en Dinamarca: ¿quién tiene acceso a los resultados? Los estudiantes individuales, sus padres y sus maestros tienen acceso a la información sobre el resultado de la evaluación del estudiante individual. Los resultados de las evaluaciones individuales de los alumnos no se comparten con otros profesores, excepto en casos específicos, como la docencia conjunta. Los directores de escuela tienen información sobre los resultados promedio de evaluación de su escuela en cada evaluación, los resultados promedio de cada clase y los datos de la escuela ajustados por factores socioeconómicos. Los municipios disponen de información sobre la nota media de los colegios del municipio y los resultados medios de cada colegio así como datos de cada colegio ajustados por factores socioeconómicos. A nivel nacional, el resultado de la prueba promedio nacional para todas las escuelas juntas se publica y está disponible para el público.",4
"En 1950-1955, el 54,2% de las personas mayores (de 60 años o más) vivían en países donde la esperanza de vida restante a los 60 años era inferior a 15 años. En 2010-2015 esa fracción se había reducido a sólo el 2,1% de la población de personas mayores. Por el contrario, antes del periodo 2005-2010, ningún país tenía una esperanza de vida a los 60 años superior a 25 años. En la figura 5 se muestran los cambios entre 1950-1955 y 2010-2015 en la distribuciÃ³n de la poblaciÃ³n mundial de edad avanzada segÃºn el nivel de esperanza de vida restante a los 60 aÃ±os.",3
"Un estudio más sólido de aritmética y alfabetización en programas vocacionales no solo podría mejorar el acceso de los graduados a la educación terciaria académica, sino también contribuir a un sistema de transferencia de créditos más sólido (Fazekas y Field, 2013). Como se muestra en el ejemplo de los Países Bajos en el Recuadro 5.3 (a continuación), mejorar el apoyo para aquellos con habilidades básicas débiles podría beneficiarse enormemente de un sistema que facilita la información entre instituciones y docentes. Cuando esta información es completa, también podría permitir el desarrollo de políticas para abordar y anticipar las necesidades de ciertos grupos de estudiantes.",4
"Esta orientación a la mejora debe llevarse a cabo en todos los sectores de su sistema educativo. Por lo tanto, los responsables políticos lituanos deberían centrarse en aumentar la demanda de atención en las comunidades rurales, donde la participación en la EAPI es baja y las desventajas sociales y educativas son pronunciadas. La calidad de la educación y la atención parece seguir los estándares internacionales, pero el control y la garantía de la calidad son inadecuados y requieren mejoras.",4
"En Túnez hay relativamente pocos estudiantes en las escuelas técnicas superiores, lo que sugiere que una fusión causaría pocos trastornos. Parece haber posibilidades de crear un diálogo en torno a esta opción de reforma en Túnez (NA, 2012). Alrededor del 10% del número total de estudiantes de secundaria superior está matriculado en programas de EFP en Túnez, lo que contrasta con una media de los países de la OCDE cercana al 50% (véase la Figura 4.7). De hecho, en Túnez se sigue considerando que los itinerarios académicos conducen a mejores resultados en el mercado laboral que los programas de EFP.",4
"La tasa de suicidios se ha mantenido bastante constante entre las mujeres durante los últimos 20 años (alrededor de 5 suicidios por cada 100 000 habitantes), y tanto hombres como mujeres han visto un ligero aumento en la mortalidad por suicidio desde 2008, lo que podría estar relacionado con la crisis económica (ver Figura 2, de ONS Suicide Data, 2011). Hay algunos grupos específicos en Inglaterra que se sabe que tienen un riesgo de suicidio superior al promedio. Ayudar a las personas a volver al empleo es una prioridad clave para este Gobierno.",3
"Las tendencias históricas sugieren que esto es eminentemente posible si los recursos lo permiten (Figura 5.1). Su nueva visión pretende aumentar la proporción de alumnos matriculados en centros SMK hasta el 60% en 2020, con un 40% en centros académicos de secundaria superior (sekolah menengah atas, o SMA), frente a la división actual del 49% en SMK y el 51% en SMA. Aunque las tasas de matriculación en centros SMK están creciendo, la tendencia es que los alumnos de primer ciclo de secundaria tienen más probabilidades de ingresar en centros SMA.",4
"Algunas de estas deficiencias se abordan en el Programa para la Evaluación Internacional de las Competencias de los Adultos (PIAAC) de la OCDE, que se analiza al final de este capítulo. Es importante poner en marcha instrumentos armonizados que midan otros tipos de competencias, que son fundamentales para la innovación y el crecimiento económico, pero también para llevar una buena vida en general (por ejemplo, las competencias sociales y emocionales1, Almlund et al. Por el momento, sólo existen a escala nacional. Informan sobre las competencias que ayudan a los individuos a emprender una amplia gama de actividades necesarias para vivir en las sociedades modernas. Entre ellas figuran la lectura, la escritura y el cálculo, así como las competencias necesarias para utilizar la tecnología digital y acceder a la información e interpretarla en una sociedad basada en el conocimiento.",4
"Las iniciativas recientes para eliminar las tarifas de usuario en los centros de atención maternoinfantil y ampliar la cobertura dental preventiva para niños pequeños son pasos positivos. De manera similar, los límites máximos en los costos de seguros y medicamentos ayudan a brindar cierta protección contra los costos de desembolso que probablemente enfrentarán los pacientes israelíes. Los responsables de la formulación de políticas deberían limitar los aumentos adicionales de los copagos y considerar las implicaciones de equidad de las decisiones tomadas en la actualización anual de la canasta de seguros. El gobierno también debe monitorear la eficacia de los mecanismos de la red de seguridad y, si es necesario, considerar expandirlos a una gama más amplia de hogares con ingresos más bajos y altas necesidades de salud.",3
"Las tres competencias son importantes para comprender y abordar de forma crítica las cuestiones relacionadas con la ciencia y la tecnología, que se están convirtiendo rápidamente en omnipresentes. También demuestran que el compromiso con la ciencia y las actitudes positivas hacia la ciencia están estrechamente relacionados, en formas que también dependen del dominio de la ciencia por parte de los alumnos. En concreto, la relación positiva entre el rendimiento en ciencias y las expectativas de futuras carreras científicas es mayor entre los alumnos que más disfrutan aprendiendo ciencias.",4
"Ofsted es la Oficina de Estándares en Educación, Servicios y Habilidades para Niños en Inglaterra. Ofsted inspecciona y regula los servicios que atienden a niños y jóvenes, y aquellos que brindan educación y habilidades para estudiantes de todas las edades. Ofsted publica regularmente informes sobre escuelas en Inglaterra (ver http://www.ofsted.gov.uk/about-us).",4
"Las catástrofes suelen magnificar los patrones de desigualdad existentes, incluida la desigualdad de género. La violencia contra las mujeres y las niñas puede producirse, por ejemplo, porque la escasez de recursos provoca la falta de alumbrado público por la noche en zonas donde las mujeres se ven obligadas a recoger combustible o agua en zonas remotas y aisladas. Las mujeres corren más despacio que los hombres, por ejemplo, y tienen más dificultades para escalar puntos de rescate como árboles y postes. A menudo no saben nadar y pueden tener prohibido salir de casa.",5
"De esta manera, los estudiantes aprenden a aplicar las matemáticas para resolver problemas, aprecian el valor de las matemáticas y desarrollan habilidades importantes que apoyarán su aprendizaje futuro y su capacidad para enfrentar nuevos problemas. No hay duda de que el conocimiento y las habilidades de vanguardia en una disciplina siempre seguirán siendo importantes. Las personas innovadoras o creativas generalmente tienen habilidades especializadas en un campo de conocimiento o práctica.",4
"La iniciativa se centra en la elaboración de nuevos análisis y recomendaciones políticas para abordar el trabajo de cuidados no remunerado, combinados con diálogos inclusivos a escala regional y mundial. El SIGI comprende perfiles de países (información sobre leyes, políticas y planes de acción que promueven la igualdad de género y la capacitación de las mujeres), una base de datos (con indicadores sobre los niveles de discriminación en el marco jurídico, las normas sociales y las prácticas) y una clasificación entre países. Estas dimensiones examinan las diferencias que la legislación, la prevalencia y las actitudes y prácticas crean entre mujeres y hombres en términos de derechos y oportunidades.",5
"El gasto anual de los pacientes se limita a 2 200 SEK (250 USD). El copago se eleva al 20 % para los medicamentos no patentados con alternativas más baratas (genéricos). Escocia: sin copago. La prestación estándar en 2014 tiene una franquicia de 310 USD y un coseguro del 25 % hasta un límite de cobertura inicial de 2 850 USD en gastos totales de medicamentos, seguido de un vacío de cobertura.",3
"Se reconoce que es un derecho fundamental y una obligación para los padres participar en la educación de sus hijos. Y la colaboración de los padres es fundamental para mejorar el conocimiento del personal de ECEC sobre sus hijos. Además, la investigación ha demostrado que la participación de los padres, especialmente para garantizar un aprendizaje infantil de alta calidad en el hogar y la comunicación con el personal de ECEC, está fuertemente asociada con el éxito académico posterior de los niños, la finalización de la escuela secundaria, el desarrollo socioemocional y la adaptación en la sociedad.",4
"En estos países, la proporción de parejas en las que el varón trabaja entre 30 y 39 horas semanales y la mujer más de 40 es también mayor que en otros países europeos (resultados no mostrados). El ""modelo de sustentador principal"" es, con un 34,8% (figura 4.9, barras grises), el más común en las familias de pareja alemanas, seguido del tradicional ""modelo de sustentador único"" en el que la madre está inactiva o desempleada (23,9%, barras blancas). En Francia, la combinaciÃ³n de dos personas que trabajan a tiempo completo es mucho mÃ¡s comÃºn, siendo lo mÃ¡s probable que las parejas opten por la doble jornada reducida, o que uno de los miembros de la pareja trabaje a tiempo completo y el otro entre 30 y 39 horas. La tercera prÃ¡ctica mÃ¡s comÃºn en Francia es el ""modelo de dos asalariados a tiempo completo"". La distribución de las modalidades de trabajo en las que el hombre no trabaja es muy similar en ambos países.",5
"Porcentajes relativamente pequeños de hombres respaldan estas opiniones en relación con las mujeres, y sus respuestas suelen ser positivas en su percepción de las mujeres académicas. Casi todos están de acuerdo en que las mujeres están haciendo un buen trabajo profesional, y muy pocos empleados (ya sean hombres o mujeres) experimentan formas graves de intimidación y acoso en el trabajo. Una cierta convergencia entre los géneros en algunos aspectos puede indicar la erosión de las jerarquías binarias de género en el entorno político actual.",5
"Es gratuito y comprende 26 semanas de estudios a tiempo completo. El programa proporciona evaluación académica y de la experiencia laboral, formación y orientación profesional, además de apoyo del Servicio Público de Empleo con la colocación en prácticas y durante la realización de las prácticas. Los requisitos para ser aceptado en el programa incluyen haber completado un mínimo de tres años de educación superior fuera de la región nórdica, estar inscrito en el Servicio Público de Empleo y hablar sueco básico (A2 en el Marco Común Europeo de Referencia para las Lenguas) (Universidad de Estocolmo, 2018(142])- Sin embargo, no está claro cuántos docentes de origen inmigrante participan en este programa de formación.",4
"Tanto los permisos de maternidad como los de paternidad y maternidad son considerablemente más largos en Europa y en los países anglosajones, con la excepción de Estados Unidos, que se queda atrás incluso en comparación con los países más pobres de América Latina. El estatus socioeconómico y el género de los trabajadores domésticos, en su gran mayoría mujeres, están inevitablemente entrelazados, por lo que la forma en que el Estado aborda sus condiciones laborales indica el valor que otorga a los dos tipos de equidad. Cualquier medida que mejore las condiciones de los trabajadores domésticos promueve ambas dimensiones de la equidad. Sin embargo, a mediano y largo plazo, la formalizaciÃ³n de las condiciones laborales de las trabajadoras domÃ©sticas puede fomentar esfuerzos colectivos hacia medidas secuenciales y desfamiliarizadoras mÃ¡s institucionalizadas.",5
"La violencia contra la mujer es un obstáculo para el logro de los objetivos de igualdad, desarrollo y paz (Naciones Unidas, 1996). Las estadísticas sobre la prevalencia de varios tipos de violencia, las causas y consecuencias de la violencia y el acceso de las víctimas de la violencia a apoyo formal e informal pueden conducir a esfuerzos preventivos y de intervención mejor enfocados y más eficientes. Las estadísticas de género pueden considerarse un campo de las estadísticas (ver, por ejemplo, UNECE and World Bank Institute, 2010); sin embargo, la producción de estadísticas de género no debe malinterpretarse como limitada a la compilación de estadísticas desagregadas por sexo de varios campos estadísticos. y su difusión en publicaciones, informes o bases de datos con enfoque de género.",5
"El aprendizaje en equipo, por tanto, no es un aprendizaje colaborativo per se, sino el aprendizaje colectivo de mentes que se unen. La neurociencia confirma que aprendemos a través de la interacción social (Dumont, Istance y Benavides, 2010), ya que el conocimiento se construye socialmente, y las teorías socioculturales también destacan la importancia de aprender participando en comunidades de práctica (Wenger, 1998), lo que refleja lo que la ciencia del aprendizaje nos informa sobre el aprendizaje eficaz de los estudiantes, por lo que un SLO fomenta el trabajo colaborativo y el aprendizaje colectivo entre su personal. Esto hace que la enseñanza sea algo más que un proceso experimentado por individuos profesionalmente aislados en sus respectivas aulas y permite, en cambio, un proceso de crecimiento profesional en el que los profesores aprenden de y con los demás compartiendo conocimientos y experiencia (Husband y Short, 1994, Kruse y Louis, 1997, Newmann, King y Youngs, 2000). Pero el trabajo en equipo y la colaboración pueden ser superficiales.",4
"Por otro lado, en Grecia, Japón, los Países Bajos y Turquía, las mujeres están ligeramente más representadas en la fuerza laboral que en el empleo del gobierno general. Según las cifras más recientes, las mujeres representan solo el 24% y el 36% de los empleados del gobierno general en Turquía y Grecia, respectivamente. Estas cifras son en general similares a las del año 2000.",5
"Los estudiantes nacidos en el extranjero que regresan son estudiantes nacidos en el extranjero de uno o más padres nacidos en Suecia. Entre los estudiantes inmigrantes de primera generación, los hablantes no nativos tenían 13 puntos porcentuales menos de probabilidad de reportar un sentido de pertenencia en la escuela en comparación con los hablantes nativos. Por el contrario, para los estudiantes inmigrantes de segunda generación, los estudiantes nacidos en el extranjero que regresan y los estudiantes nativos de herencia mixta, no hay una diferencia estadísticamente significativa en el porcentaje de estudiantes que reportan un sentido de pertenencia en la escuela.",4
"También se les anima a trabajar para garantizar la aplicación efectiva del marco legal con el fin de garantizar la igualdad y la no discriminación entre todos los ciudadanos, sobre todo teniendo en cuenta el cambio de actitudes sociales, y a cuestionar las normas y prácticas sociales discriminatorias. En virtud de estas leyes, basadas en diversos grados en la religión, las mujeres no tienen los mismos derechos que los hombres a ejercer una profesión, viajar o ser cabeza de familia. Esto afecta a los resultados económicos y a la aplicación de disposiciones igualitarias en materia de empleo y espíritu empresarial. Los debates a nivel nacional e internacional atestiguan que las leyes sobre el estatuto personal influyen en los valores sociales.",5
"Debe prestarse especial atención a orientar las inversiones hacia las poblaciones, los segmentos asistenciales y las regiones más rezagadas. Deben aplicarse medidas de mejora de la calidad a todos los niveles y supervisarse mejor su impacto en los procesos y los resultados sanitarios. Los acuerdos de pago por resultados podrían basarse en mejoras de estos resultados sanitarios, en lugar de en medidas de proceso o en la aparición o evitación de sucesos poco frecuentes. Las iniciativas de mejora de la calidad también deberían dar prioridad a una mayor modernización de los sistemas de información sanitaria, con el fin de integrar los datos de asistencia sanitaria y apoyar la continuidad y coordinación de la atención a los pacientes. Para acelerar la mejora de los resultados sanitarios y colmar las lagunas en los principales indicadores de salud, es probable que se necesite una mayor financiación pública.",3
"Esta estrategia incluye la participaciÃ³n de los defensores de los derechos de la mujer y otros defensores de la igualdad de gÃ©nero, asÃ como el aumento de los conocimientos y la sensibilizaciÃ³n sobre los PSG entre la poblaciÃ³n en general. Más que nunca, las nuevas realidades imponen nuevas formas de hacer las cosas. Con el fin de diseÃ±ar polÃticas sensibles, lograr la plena capacitaciÃ³n de todos los miembros de la sociedad y obtener una visiÃ³n estratÃ©gica sobre los retos y cuestiones clave, los gobiernos de todo el mundo - en los paÃses de la OCDE y en los que no pertenecen a la OCDE - deben trabajar para profundizar la participaciÃ³n de los ciudadanos en la formulaciÃ³n de polÃticas (tanto hombres como mujeres), e involucrar a las empresas, la sociedad civil y otras partes interesadas. ",5
"Por otro lado, algunos hombres pueden aceptar esta mayor posición de la mujer en el hogar y disminuir la violencia de género para mantenerla satisfecha en el matrimonio. Los elementos del recuadro del extremo izquierdo representan diferentes elementos del diseño del programa que pueden influir en su impacto, como el tamaño, la frecuencia y la duración de las transferencias, y los criterios de selección, incluidos los perfiles particulares de vulnerabilidad y pobreza de la población beneficiaria y si las mujeres son o no receptoras explícitas de la transferencia. Nuestra hipótesis es que las vías o mecanismos causales específicos que entran en funcionamiento en cada caso pueden estar en función de: 1) las características de diseño de la propia TC, y 2) cómo reacciona la pareja de la mujer ante la transferencia, y 3) el contexto del programa de TC, incluidos los factores contextuales subyacentes, como los regímenes de género, las normas sociales y las leyes y políticas locales. En las secciones siguientes, explicamos versiones estilizadas de cada vía, apoyándonos cuando es necesario en una base de pruebas más amplia que la bibliografía sobre TC y VPI, y analizamos el grado en que los datos de la revisión apoyan o refutan la vía hipotetizada.",5
"Ministerio de Educación de Bangladesh, 2012). A fines de la década de 1980, el gobierno puso gran énfasis en la mejora del sistema de educación primaria en un intento por aumentar la tasa de alfabetización; en ese momento se emprendió un plan importante para establecer una escuela primaria por cada 2000 personas en Bangladesh. La educación superior, asimismo, tiene tres corrientes: general (ciencias puras y aplicadas, artes, negocios y ciencias sociales), Madraza y educación tecnológica, que incluye agricultura, ingeniería, medicina, tecnología textil, del cuero y tecnología de la información y la comunicación (TIC). (Ministerio de Educación de Bangladesh, 2004).",4
"Si se interpretan correctamente, estos datos también deberían revelar la relación entre el trabajo informal y el cuidado de los hijos. Del mismo modo, los datos más generales sobre el uso del tiempo deben tenerse en cuenta en los programas públicos de empleo, garantizando que las políticas necesarias para acomodar la situación de las mujeres no tiendan a reforzar los roles de género y a mantener la actual distribución del uso del tiempo en los hogares. Además, estos datos deben proporcionar al Estado la información que necesita para fomentar una mayor participación de los hombres en el cuidado y la crianza de los hijos, por ejemplo mediante el permiso de paternidad, que forma parte de la política de regulación laboral. El empleo es lo que da acceso a la seguridad social en América Latina, y perjudica a las mujeres en el mercado laboral porque el tiempo que dedican al trabajo no remunerado también socava su posición en la seguridad social. El valor económico promedio que genera mensualmente un ama de casa por su trabajo no remunerado debería sustentar dicha integración (UNESCAP, 2004).",5
"En otros países, especialmente Bélgica, Canadá, Nueva Zelanda y Portugal, la diferencia de género en la capacidad de las personas para hacer frente a una crisis parece ser menor si se tienen en cuenta también las diferencias de género en el conocimiento financiero. Esto sugiere que, al menos en algunos países, las diferencias de género en el conocimiento financiero están asociadas con diferencias en la resiliencia financiera, y que mejorar el conocimiento financiero de las mujeres podría ayudarlas a establecer estrategias financieras más exitosas para enfrentar impactos negativos. Algunos gobiernos continúan abordando las necesidades de las niñas y las mujeres como parte de estrategias nacionales coordinadas para la educación financiera, como en Australia, Bangladesh, Brasil, India, Israel, Líbano y Turquía.",5
"La solidez del compromiso gubernamental con la escolarización se refleja en un alto nivel sostenido de inversión en escolarización y en unas condiciones favorables para la enseñanza en todas las escuelas, como indican el tamaño comparativamente bajo de las clases y la proporción de alumnos por profesor. Los recientes cambios en el sistema de distribución de las subvenciones de funcionamiento y la dotación de personal han ido en consonancia con aumentos sustanciales en el presupuesto global para la escolarización. La elección de los padres está respaldada por el sistema de financiación escolar, en particular el compromiso de la Comunidad flamenca con la gratuidad de la enseñanza. Independientemente de la elección del centro escolar, los padres no tienen que pagar tasas de matrícula por la escolarización reconocida públicamente y existe un planteamiento uniforme de financiación recurrente de los centros escolares en todas las redes.",4
"Esto es especialmente importante para los pobres, que dependen de una buena salud y nutrición para el trabajo productivo. Para mejorar sus ingresos y su calidad de vida, deben poder resistir y recuperarse de las enfermedades, y las mujeres deben poder contar con embarazos seguros. Sin embargo, como se describió en el capítulo anterior, se han ampliado las disparidades en materia de salud, especialmente en lo que respecta a la mortalidad infantil y en la niñez, la mortalidad materna y la proporción de niños con insuficiencia ponderal. Esto se hace eco de las preocupaciones planteadas por la Cumbre de los ODM en septiembre de 2010, que llamó la atención sobre los persistentes desequilibrios en el funcionamiento actual de la economía mundial, que son social, económica y ambientalmente insostenibles.",3
"Según estos datos, el índice de escasez de docentes es 2,3 veces mayor en las zonas rurales, y el índice de calidad de los recursos educativos es 3,6 veces peor en las zonas rurales en comparación con las zonas urbanas (OCDE, 2013b). Además, según los datos de PISA 2015, el índice de recursos específicos de ciencia (recursos para ciencia, como laboratorios y materiales para actividades científicas) es significativamente más bajo para los estudiantes de áreas rurales que para los estudiantes de áreas urbanas (OCDE, 2016b). Al observar el tiempo de instrucción dedicado a diferentes áreas temáticas, la principal diferencia está en el tiempo dedicado a las lecciones escolares regulares de ciencias: 246 minutos en áreas rurales, en contraste con 298 minutos en áreas urbanas (OCDE, 2013b). Para continuar en la escuela secundaria superior, la mayoría de los estudiantes rurales necesitan cambiar de escuela.",4
"Esto se conoce como seguimiento académico o transmisión. Algunos países tienen sistemas integrales que brindan los mismos programas educativos a todos los estudiantes hasta el final de la educación primaria o secundaria inferior. Otros países separan a los estudiantes en varias vías que tienen un enfoque diferente en la preparación de los estudiantes, lo que implica proporcionar diferentes planes de estudio, niveles de intensidad académica y experiencias de aprendizaje.",4
"Las características de personalidad están ligadas al curso de los trastornos mentales y al funcionamiento laboral. Esto es importante porque tales rasgos de personalidad no se pueden cambiar directamente. Esto también es válido para los trastornos de la personalidad, que pueden verse influidos por intervenciones psicológicas, entrenamiento o capacitación (p. ej., capacitación en habilidades sociales o habilidades laborales), pero que no pueden tratarse directamente, ni siquiera curarse, en la práctica clínica. La importancia de las características de personalidad duraderas, ya sean rasgos de personalidad acentuados que son bastante comunes o trastornos de personalidad reales, muestra que hay un grupo de personas que necesitan apoyos a largo plazo para lograr su desempeño profesional. Descubrieron que la asociación entre el trastorno mental y el posterior deterioro laboral se debilita o incluso desaparece una vez que se tienen en cuenta las características de la personalidad.",3
